scenario_id,ae,profile,profile_ru,curvature_radius_m,curvature_class,lateral_length_m,tubing_shoe_from_heel_m,shoe_fraction,q_std_m3_day,q_std_th_m3_day,p_heel_mpa,p_avg_lateral_mpa,p_toe_mpa,delta_p_wellbore_kpa,a_coeff,b_coeff,iterations,q_vertical_ref_m3_day,gain_vs_vertical_pct
15,0.1,flat,плоско-горизонтальный,8.0,малый,500.0,0.0,0.0,58942.883825757744,58.94288382575775,7.5,7.502958805572245,7.50591761114449,5.917611144490023,838733217844.584,71715791790577.52,5,34749.58533414408,69.62183363909648
16,0.1,flat,плоско-горизонтальный,8.0,малый,500.0,100.0,0.2,58948.09794064924,58.94809794064924,7.5,7.502605855462348,7.505211710924696,5.211710924696571,838723571347.0088,71715961606286.31,4,34749.58533414408,69.6368384653163
17,0.1,flat,плоско-горизонтальный,8.0,малый,500.0,200.0,0.4,58953.31772729111,58.953317727291115,7.5,7.502252786937223,7.504505573874447,4.505573874446397,838713913104.1898,71716131635273.88,4,34749.58533414408,69.6518596133147
18,0.1,flat,плоско-горизонтальный,8.0,малый,500.0,300.0,0.6,58958.53884884615,58.958538848846146,7.5,7.501899599521512,7.503799199043024,3.799199043023547,838704251137.9359,71716301736335.73,4,34749.58533414408,69.66688460283567
19,0.1,flat,плоско-горизонтальный,8.0,малый,500.0,400.0,0.8,58963.76130572656,58.963761305726564,7.5,7.501546293154907,7.503092586309813,3.092586309812942,838694585446.3429,71716471909513.16,4,34749.58533414408,69.68191343506545
20,0.1,flat,плоско-горизонтальный,8.0,малый,500.0,500.0,1.0,58968.9836778788,58.9689836778788,7.5,7.501192867722049,7.5023857354441,2.3857354440999066,838684918657.008,71716642108550.06,3,34749.58533414408,69.69694202347024
21,0.1,flat,плоско-горизонтальный,8.0,малый,600.0,0.0,0.0,66160.58336122298,66.16058336122298,7.5,7.5044267859337115,7.508853571867423,8.853571867423394,800999147291.2952,56808771761494.08,5,34749.58533414408,90.39243986665714
22,0.1,flat,плоско-горизонтальный,8.0,малый,600.0,100.0,0.16666666666666666,66167.88826823601,66.16788826823601,7.5,7.503987297223713,7.5079745944474245,7.974594447424908,800987667698.0864,56808939365698.75,5,34749.58533414408,90.41346143264934
23,0.1,flat,плоско-горизонтальный,8.0,малый,600.0,200.0,0.3333333333333333,66175.19573221737,66.17519573221738,7.5,7.503547623399982,7.507095246799962,7.095246799962806,800976182231.1892,56809107063667.43,5,34749.58533414408,90.43449035691158
24,0.1,flat,плоско-горизонтальный,8.0,малый,600.0,300.0,0.5,66182.50575456128,66.18250575456128,7.5,7.503107764336621,7.506215528673241,6.215528673241016,800964690886.1329,56809274855478.01,5,34749.58533414408,90.45552664345605
