shoe_depth_m,distance_from_heel_m,pressure_mpa,q_std_th_m3_day
0.0,0.0,7.5,142.15487379830373
0.0,7.563025210084033,7.500536695206833,142.15487379830373
0.0,15.126050420168067,7.501073390413666,142.15487379830373
0.0,22.6890756302521,7.5016100856204995,142.15487379830373
0.0,30.252100840336134,7.502146780827333,142.15487379830373
0.0,37.81512605042017,7.502683476034166,142.15487379830373
0.0,45.3781512605042,7.503220171240999,142.15487379830373
0.0,52.94117647058823,7.503756866447833,142.15487379830373
0.0,60.50420168067227,7.5042935616546655,142.15487379830373
0.0,68.0672268907563,7.504830256861498,142.15487379830373
0.0,75.63025210084034,7.505366952068332,142.15487379830373
0.0,83.19327731092437,7.505903647275166,142.15487379830373
0.0,90.7563025210084,7.506440342481999,142.15487379830373
0.0,98.31932773109243,7.506977037688832,142.15487379830373
0.0,105.88235294117646,7.5075137328956645,142.15487379830373
0.0,113.4453781512605,7.508050428102498,142.15487379830373
0.0,121.00840336134453,7.508587123309332,142.15487379830373
0.0,128.57142857142856,7.509123818516165,142.15487379830373
0.0,136.1344537815126,7.509660513722998,142.15487379830373
0.0,143.69747899159663,7.5101972089298314,142.15487379830373
0.0,151.26050420168067,7.510733904136664,142.15487379830373
0.0,158.8235294117647,7.511270599343497,142.15487379830373
0.0,166.38655462184875,7.511807294550331,142.15487379830373
0.0,173.94957983193277,7.512343989757165,142.15487379830373
0.0,181.5126050420168,7.5128806849639975,142.15487379830373
0.0,189.07563025210084,7.51341738017083,142.15487379830373
0.0,196.63865546218486,7.513954075377663,142.15487379830373
0.0,204.2016806722689,7.514490770584497,142.15487379830373
0.0,211.76470588235293,7.515027465791331,142.15487379830373
0.0,219.32773109243698,7.515564160998164,142.15487379830373
0.0,226.890756302521,7.5161008562049965,142.15487379830373
0.0,234.45378151260505,7.51663755141183,142.15487379830373
0.0,242.01680672268907,7.517174246618663,142.15487379830373
0.0,249.5798319327731,7.517710941825496,142.15487379830373
0.0,257.1428571428571,7.51824763703233,142.15487379830373
0.0,264.70588235294116,7.518784332239163,142.15487379830373
0.0,272.2689075630252,7.519321027445996,142.15487379830373
0.0,279.83193277310926,7.519857722652829,142.15487379830373
0.0,287.39495798319325,7.520394417859662,142.15487379830373
0.0,294.9579831932773,7.520931113066496,142.15487379830373
0.0,302.52100840336135,7.5214678082733295,142.15487379830373
0.0,310.08403361344534,7.522004503480162,142.15487379830373
0.0,317.6470588235294,7.522541198686995,142.15487379830373
0.0,325.21008403361344,7.523077893893829,142.15487379830373
0.0,332.7731092436975,7.523614589100662,142.15487379830373
0.0,340.3361344537815,7.524151284307495,142.15487379830373
0.0,347.89915966386553,7.524687979514328,142.15487379830373
0.0,355.4621848739496,7.525224674721162,142.15487379830373
0.0,363.0252100840336,7.525761369927995,142.15487379830373
0.0,370.5882352941176,7.526298065134828,142.15487379830373
0.0,378.1512605042017,7.526834760341661,142.15487379830373
0.0,385.7142857142857,7.5273714555484945,142.15487379830373
0.0,393.2773109243697,7.527908150755328,142.15487379830373
0.0,400.84033613445376,7.528444845962161,142.15487379830373
0.0,408.4033613445378,7.528981541168994,142.15487379830373
0.0,415.96638655462186,7.529518236375828,142.15487379830373
0.0,423.52941176470586,7.530054931582661,142.15487379830373
0.0,431.0924369747899,7.5305916267894935,142.15487379830373
0.0,438.65546218487395,7.531128321996327,142.15487379830373
0.0,446.21848739495795,7.531665017203161,142.15487379830373
0.0,453.781512605042,7.532201712409994,142.15487379830373
0.0,461.34453781512605,7.532738407616827,142.15487379830373
0.0,468.9075630252101,7.5332751028236595,142.15487379830373
0.0,476.4705882352941,7.533811798030493,142.15487379830373
0.0,484.03361344537814,7.534348493237327,142.15487379830373
0.0,491.5966386554622,7.53488518844416,142.15487379830373
0.0,499.1596638655462,7.535421883650993,142.15487379830373
0.0,506.7226890756302,7.5359585788578265,142.15487379830373
0.0,514.2857142857142,7.536495274064659,142.15487379830373
0.0,521.8487394957983,7.537031969271492,142.15487379830373
0.0,529.4117647058823,7.537568664478326,142.15487379830373
0.0,536.9747899159664,7.53810535968516,142.15487379830373
0.0,544.5378151260504,7.538642054891993,142.15487379830373
0.0,552.1008403361344,7.539178750098825,142.15487379830373
0.0,559.6638655462185,7.539715445305658,142.15487379830373
0.0,567.2268907563025,7.540252140512491,142.15487379830373
0.0,574.7899159663865,7.540788835719326,142.15487379830373
0.0,582.3529411764706,7.541325530926159,142.15487379830373
0.0,589.9159663865546,7.5418622261329915,142.15487379830373
0.0,597.4789915966386,7.542398921339824,142.15487379830373
0.0,605.0420168067227,7.542935616546658,142.15487379830373
0.0,612.6050420168067,7.543472311753491,142.15487379830373
0.0,620.1680672268907,7.544009006960325,142.15487379830373
0.0,627.7310924369748,7.544545702167158,142.15487379830373
0.0,635.2941176470588,7.545082397373991,142.15487379830373
0.0,642.8571428571429,7.545619092580824,142.15487379830373
0.0,650.4201680672269,7.546155787787657,142.15487379830373
0.0,657.9831932773109,7.54669248299449,142.15487379830373
0.0,665.546218487395,7.5472291782013246,142.15487379830373
0.0,673.109243697479,7.547765873408157,142.15487379830373
0.0,680.672268907563,7.54830256861499,142.15487379830373
0.0,688.2352941176471,7.548839263821823,142.15487379830373
0.0,695.7983193277311,7.549375959028657,142.15487379830373
0.0,703.3613445378151,7.54991265423549,142.15487379830373
